"codreg_cups";"desc_cups"
"922603";"BRAQUITERAPIA INTRALUMINAL (PLANEACION COMPUTARIZADA BIDIMENSIONAL Y SIMULACION CONVENCIONAL) CON ALTA TASA DE DOSIS"
"922604";"BRAQUITERAPIA INTRALUMINAL CON BAJA TASA DE DOSIS"
"922605";"BRAQUITERAPIA INTRACAVITARIA (PLANEACION COMPUTARIZADA BIDIMENSIONAL Y SIMULACION CONVENCIONAL) CON ALTA TASA DE DOSIS"
"922606";"BRAQUITERAPIA INTRACAVITARIA (PLANEACION COMPUTARIZADA BIDIMENSIONAL Y SIMULACION CONVENCIONAL) CON BAJA TASA DE DOSIS"
"922607";"BRAQUITERAPIA INTRACAVITARIA (PLANEACION COMPUTARIZADA TRIDIMENSIONAL Y SIMULACION VIRTUAL) CON ALTA TASA DE DOSIS"
"922608";"BRAQUITERAPIA INTRACAVITARIA (PLANEACION COMPUTARIZADA TRIDIMENSIONAL Y SIMULACION VIRTUAL) CON BAJA TASA DE DOSIS"
"922609";"BRAQUITERAPIA INTRALUMINAL (PLANEACION COMPUTARIZADA TRIDIMENSIONAL Y SIMULACION VIRTUAL) CON ALTA TASA DE DOSIS"
"922611";"BRAQUITERAPIA DE CONTACTO (PLANEACION COMPUTARIZADA BIDIMENSIONAL Y SIMULACION CONVENCIONAL) CON ALTA TASA DE DOSIS"
"922612";"BRAQUITERAPIA DE CONTACTO (PLANEACION COMPUTARIZADA TRIDIMENSIONAL Y SIMULACION VIRTUAL) CON ALTA TASA DE DOSIS"
"922613";"BRAQUITERAPIA EPIESCLERAL DE CONTACTO (PLANEACION COMPUTARIZADA TRIDIMENSIONAL Y SIMULACION VIRTUAL) CON BAJA TASA DE DOSIS"
"922614";"BRAQUITERAPIA METABOLICA"
"922615";"BRAQUITERAPIA INTERSTICIAL (PLANEACION COMPUTARIZADA BIDIMENSIONAL Y SIMULACION CONVENCIONAL) CON ALTA TASA DE DOSIS"
"922616";"BRAQUITERAPIA INTERSTICIAL (PLANEACION COMPUTARIZADA TRIDIMENSIONAL Y SIMULACION VIRTUAL) CON ALTA TASA DE DOSIS"
"922801";"TERAPIA CON RADIOISOTOPOS"
"922805";"TERAPIA CON ITRIUM 90"
"922810";"TERAPIA CON METAIODOBENCILGUANIDINA SUPRARRENAL"
"922830";"TERAPIA DE METASTASIS CON ESTRONCIO"
"940301";"EVALUACION EN ALTERACIONES EMOCIONALES O DE CONDUCTA"
"942600";"TERAPIA ELECTROCONVULSIVA CON ANESTESIA Y RELAJACIONES [TECAR] SOD"
"943101";"PSICOTERAPIA INDIVIDUAL POR PSIQUIATRIA"
"943102";"PSICOTERAPIA INDIVIDUAL POR PSICOLOGIA"
"944001";"PSICOTERAPIA DE PAREJA POR PSIQUIATRIA"
"944002";"PSICOTERAPIA DE PAREJA POR PSICOLOGIA"
"944101";"PSICOTERAPIA FAMILIAR POR PSIQUIATRIA"
"944102";"PSICOTERAPIA FAMILIAR POR PSICOLOGIA"
"944201";"PSICOTERAPIA DE GRUPO POR PSIQUIATRIA"
"944202";"PSICOTERAPIA DE GRUPO POR PSICOLOGIA"
"944906";"INTERVENCION EN SALUD MENTAL COMUNITARIA, POR TERAPIA OCUPACIONAL."
"953501";"TERAPIA ORTOPTICA"
"953502";"TERAPIA PLEOPTICA"
"953800";"BETATERAPIA SOD"
"954610";"LIBERACION Y REPOSICIONAMIENTO CANALICULAR (TERAPIA DE REHABILITACION VESTIBULAR PERIFERICA)"
"966101";"INFUSION DE ALIMENTACION ENTERAL POR SONDA"
"975900";"EXTRACCION DE OTRO DISPOSITIVO TERAPEUTICO DEL APARATO DIGESTIVO SOD"
"976202";"EXTRACCION DE CATETER URETERAL VIA ABIERTA "
"976203";"EXTRACCION DE CATETER URETERAL VIA ENDOSCOPICA"
"990108";"EDUCACION GRUPAL EN SALUD, POR FISIOTERAPIA"
"990109";"EDUCACION GRUPAL EN SALUD, POR TERAPIA OCUPACIONAL"
"990208";"EDUCACION INDIVIDUAL EN SALUD, POR FISIOTERAPIA"
"990209";"EDUCACION INDIVIDUAL EN SALUD, POR TERAPIA OCUPACIONAL"
"991202";"INMUNOTERAPIA CON EXTRACTO ALERGENICO POR VIA SUBCUTANEA."
"991203";"INMUNOTERAPIA CON EXTRACTO ALERGENICO POR VIA SUBLINGUAL."
"991501";"INFUSION DE ALIMENTACION PARENTERAL"
"992501";"TERAPIA ANTINEOPLASICA DE INDUCCION "
"992502";"QUIMIOTERAPIA INTRATECAL"
"992504";"POLIQUIMIOTERAPIA DE BAJO RIESGO (CICLO DE TRATAMIENTO)"
"992505";"POLIQUIMIOTERAPIA DE ALTO RIESGO (CICLO DE TRATAMIENTO)"
"992506";"ADMINISTRACION (INFUSION O PERFUSION) DE QUIMIOTERAPIA INTRARTERIAL (REGIONAL)"
"992507";"ADMINISTRACION (INFUSION O PERFUSION) DE QUIMIOTERAPIA EN CAVIDADES"
"992990";"INYECCION O INFUSION DE OTRA SUSTANCIA TERAPEUTICA O PROFILACTICA"
"998301";"FOTOTERAPIA CONTINUA"
"998501";"MONITOREO Y CONTROL DE HIPERTERMIA INDUCIDA (TERAPIA COMPLEMENTARIA)"
"999200";"TERAPIA DE FILTROS SOD"
"999401";"NEURALTERAPIA SUPERFICIAL (INFILTRACION)"
"999402";"NEURALTERAPIA PROFUNDA (INFILTRACION)"
"A32711";"ANALISIS DE LECHE ENTERA EN POLVO CON VITAMINAS"
"A32960";"ENSAYOS BIOLOGICOS DE SISTEMAS TERAPEUTICOS ESTERILES"
"A32961";"ENSAYOS FISICOS Y QUIMICO DE SISTEMAS TERAPEUTICOS ESTERILES"
"A32962";"VERIFICACION DE LA ROTULACION DE SISTEMAS TERAPEUTICOS ESTERILES"
"A32963";"DESCRIPCION DEL TIPO DE ENVASE Y EMPAQUE DE SISTEMAS TERAPEUTICOS ESTERILES"
"A32970";"ENSAYOS BIOLOGICOS DE SISTEMAS TERAPEUTICOS NO ESTERILES"
"A32971";"ENSAYOS FISICOS Y QUIMICO DE SISTEMAS TERAPEUTICOS NO ESTERILES"
"A32972";"VERIFICACION DE LA ROTULACION DE SISTEMAS TERAPEUTICOS NO ESTERILES"
"A32973";"DESCRIPCION DEL TIPO DE ENVASE Y EMPAQUE DE SISTEMAS TERAPEUTICOS NO ESTERILES"
