id;cie10;nombre;descripcion;fechaRegistro;estadoReg;edadFin;edadIni;flagSivigila;habilitadoMipres
27;A044;Otras infecciones intestinales debidas a Escherichia coli;Otras infecciones intestinales debidas a Escherichia coli;19/07/2024;A;1;100;A;1
28;A045;Enteritis debida a Campylobacter;Enteritis debida a Campylobacter;19/07/2024;A;1;100;A;1
29;A046;Enteritis debida a Yersinia enterocolitica;Enteritis debida a Yersinia enterocolitica;19/07/2024;A;1;100;A;1
30;A047;Enterocolitis debida a Clostridium difficile;Enterocolitis debida a Clostridium difficile;19/07/2024;A;1;100;A;1
31;A048;Otras infecciones intestinales bacterianas especificadas;Otras infecciones intestinales bacterianas especificadas;19/07/2024;A;1;100;A;1
32;A049;Infeccion intestinal bacteriana, no especificada;Infeccion intestinal bacteriana, no especificada;19/07/2024;A;1;100;A;1
33;A050;Intoxicacion alimentaria estafilococica;Intoxicacion alimentaria estafilococica;19/07/2024;A;1;100;A;1
34;A051;Botulismo;Botulismo;19/07/2024;A;1;100;A;1
35;A052;Intoxicacion alimentaria debida a Clostridium perfringens [Clostridium welchii];Intoxicacion alimentaria debida a Clostridium perfringens [Clostridium welchii];19/07/2024;A;1;100;A;1
36;A053;Intoxicacion alimentaria debida a Vibrio parahaemolyticus;Intoxicacion alimentaria debida a Vibrio parahaemolyticus;19/07/2024;A;1;100;A;1
37;A054;Intoxicacion alimentaria debida a Bacillus cereus;Intoxicacion alimentaria debida a Bacillus cereus;19/07/2024;A;1;100;A;1
38;A058;Otras intoxicaciones alimentarias debidas a bacterias especificadas;Otras intoxicaciones alimentarias debidas a bacterias especificadas;19/07/2024;A;1;100;A;1
39;A059;Intoxicacion alimentaria bacteriana, no especificada;Intoxicacion alimentaria bacteriana, no especificada;19/07/2024;A;1;100;A;1
40;A060;Disenteria amebiana aguda;Disenteria amebiana aguda;19/07/2024;A;1;100;A;1
41;A061;Amebiasis intestinal cronica;Amebiasis intestinal cronica;19/07/2024;A;1;100;A;1
42;A062;Colitis amebiana no disenterica;Colitis amebiana no disenterica;19/07/2024;A;1;100;A;1
43;A063;Ameboma intestinal;Ameboma intestinal;19/07/2024;A;1;100;A;1
44;A064;Absceso amebiano del higado;Absceso amebiano del higado;19/07/2024;A;1;100;A;1
45;A065;Absceso amebiano del pulmon;Absceso amebiano del pulmon;19/07/2024;A;1;100;A;1
46;A066;Absceso amebiano del cerebro;Absceso amebiano del cerebro;19/07/2024;A;1;100;A;1
47;A067;Amebiasis cutanea;Amebiasis cutanea;19/07/2024;A;1;100;A;1
48;A068;Infeccion amebiana de otras localizaciones;Infeccion amebiana de otras localizaciones;19/07/2024;A;1;100;A;1
49;A069;Amebiasis, no especificada;Amebiasis, no especificada;19/07/2024;A;1;100;A;1
50;A070;Balantidiasis;Balantidiasis;19/07/2024;A;1;100;A;1
51;A071;Giardiasis [lambliasis];Giardiasis [lambliasis];19/07/2024;A;1;100;A;1
52;A072;Criptosporidiosis;Criptosporidiosis;19/07/2024;A;1;100;A;1
53;A073;Isosporiasis;Isosporiasis;19/07/2024;A;1;100;A;1
54;A078;Otras enfermedades intestinales especificadas debidas a protozoarios;Otras enfermedades intestinales especificadas debidas a protozoarios;19/07/2024;A;1;100;A;1
55;A079;Enfermedad intestinal debida a protozoarios, no especificada;Enfermedad intestinal debida a protozoarios, no especificada;19/07/2024;A;1;100;A;1
56;A080;Enteritis debida a rotavirus;Enteritis debida a rotavirus;19/07/2024;A;1;100;A;1
57;A081;Gastroenteropatia aguda debida al agente de Norwalk;Gastroenteropatia aguda debida al agente de Norwalk;19/07/2024;A;1;100;A;1
58;A082;Enteritis debida a adenovirus;Enteritis debida a adenovirus;19/07/2024;A;1;100;A;1
59;A083;Otras enteritis virales;Otras enteritis virales;19/07/2024;A;1;100;A;1
60;A084;Infeccion intestinal viral, sin otra especificacion;Infeccion intestinal viral, sin otra especificacion;19/07/2024;A;1;100;A;1
61;A085;Otras infecciones intestinales especificadas;Otras infecciones intestinales especificadas;19/07/2024;A;1;100;A;1
62;A090;Otras gastroenteritis y colitis de origen infeccioso;Otras gastroenteritis y colitis de origen infeccioso;19/07/2024;A;1;100;A;1
63;A099;Gastroenteritis y colitis de origen no especificado;Gastroenteritis y colitis de origen no especificado;19/07/2024;A;1;100;A;1
64;A09X;Diarrea y gastroenteritis de presunto origen infeccioso;Diarrea y gastroenteritis de presunto origen infeccioso;19/07/2024;A;1;100;A;0
65;A150;Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo;Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo;19/07/2024;A;1;100;A;1
66;A151;Tuberculosis del pulmon, confirmada unicamente por cultivo;Tuberculosis del pulmon, confirmada unicamente por cultivo;19/07/2024;A;1;100;A;1
67;A152;Tuberculosis del pulmon, confirmada histologicamente;Tuberculosis del pulmon, confirmada histologicamente;19/07/2024;A;1;100;A;1
68;A153;Tuberculosis del pulmon, confirmada por medios no especificados;Tuberculosis del pulmon, confirmada por medios no especificados;19/07/2024;A;1;100;A;1
69;A154;Tuberculosis de ganglios linfaticos intratoracicos, confirmada bacteriologica e histologicamente;Tuberculosis de ganglios linfaticos intratoracicos, confirmada bacteriologica e histologicamente;19/07/2024;A;1;100;A;1
70;A155;Tuberculosis de laringe, traquea y bronquios, confirmada bacteriologica e histologicamente;Tuberculosis de laringe, traquea y bronquios, confirmada bacteriologica e histologicamente;19/07/2024;A;1;100;A;1
71;A156;Pleuresia tuberculosa, confirmada bacteriologica e histologicamente;Pleuresia tuberculosa, confirmada bacteriologica e histologicamente;19/07/2024;A;1;100;A;1
72;A157;Tuberculosis respiratoria primaria, confirmada bacteriologica e histologicamente;Tuberculosis respiratoria primaria, confirmada bacteriologica e histologicamente;19/07/2024;A;1;100;A;1
73;A158;Otras tuberculosis respiratorias, confirmadas bacteriologica e histologicamente;Otras tuberculosis respiratorias, confirmadas bacteriologica e histologicamente;19/07/2024;A;1;100;A;1
74;A159;Tuberculosis respiratoria no especificada, confirmada bacteriologica e histologicamente;Tuberculosis respiratoria no especificada, confirmada bacteriologica e histologicamente;19/07/2024;A;1;100;A;1
75;A160;Tuberculosis del pulmon, con examen bacteriologico e histologico negativos;Tuberculosis del pulmon, con examen bacteriologico e histologico negativos;19/07/2024;A;1;100;A;1
76;A161;Tuberculosis de pulmon, sin examen bacteriologico e histologico;Tuberculosis de pulmon, sin examen bacteriologico e histologico;19/07/2024;A;1;100;A;1
77;A162;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica;Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica;19/07/2024;A;1;100;A;1
78;A163;Tuberculosis de ganglios linfaticos intratoracicos, sin mencion de confirmacion bacteriologica o histologica;Tuberculosis de ganglios linfaticos intratoracicos, sin mencion de confirmacion bacteriologica o histologica;19/07/2024;A;1;100;A;1
79;A164;Tuberculosis de laringe, traquea y bronquios, sin mencion de confirmacion bacteriologica o histologica;Tuberculosis de laringe, traquea y bronquios, sin mencion de confirmacion bacteriologica o histologica;19/07/2024;A;1;100;A;1
80;A165;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica;Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica;19/07/2024;A;1;100;A;1
81;A167;Tuberculosis respiratoria primaria, sin mencion de confirmacion bacteriologica o histologica;Tuberculosis respiratoria primaria, sin mencion de confirmacion bacteriologica o histologica;19/07/2024;A;1;100;A;1
82;A168;Otras tuberculosis respiratorias, sin mencion de confirmacion;Otras tuberculosis respiratorias, sin mencion de confirmacion;19/07/2024;A;1;100;A;1
83;A169;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica;Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica;19/07/2024;A;1;100;A;1
84;A170;Meningitis tuberculosa;Meningitis tuberculosa;19/07/2024;A;1;100;A;1
85;A171;Tuberculoma meningeo;Tuberculoma meningeo;19/07/2024;A;1;100;A;1
86;A178;Otras tuberculosis del sistema nervioso;Otras tuberculosis del sistema nervioso;19/07/2024;A;1;100;A;1
87;A179;Tuberculosis del sistema nervioso, no especificada;Tuberculosis del sistema nervioso, no especificada;19/07/2024;A;1;100;A;1
88;A180;Tuberculosis de huesos y articulaciones;Tuberculosis de huesos y articulaciones;19/07/2024;A;1;100;A;1
89;A181;Tuberculosis del aparato genitourinario;Tuberculosis del aparato genitourinario;19/07/2024;A;1;100;A;1
90;A182;Linfadenopatia periferica tuberculosa;Linfadenopatia periferica tuberculosa;19/07/2024;A;1;100;A;1
91;A183;Tuberculosis de los intestinos, el peritoneo y los ganglios mesentericos;Tuberculosis de los intestinos, el peritoneo y los ganglios mesentericos;19/07/2024;A;1;100;A;1
92;A184;Tuberculosis de la piel y el tejido subcutaneo;Tuberculosis de la piel y el tejido subcutaneo;19/07/2024;A;1;100;A;1
93;A185;Tuberculosis del ojo;Tuberculosis del ojo;19/07/2024;A;1;100;A;1
94;A186;Tuberculosis del oido;Tuberculosis del oido;19/07/2024;A;1;100;A;1
95;A187;Tuberculosis de glandulas suprarrenales;Tuberculosis de glandulas suprarrenales;19/07/2024;A;1;100;A;1
96;A188;Tuberculosis de otros organos especificados;Tuberculosis de otros organos especificados;19/07/2024;A;1;100;A;1
97;A190;Tuberculosis miliar aguda de un solo sitio especificado;Tuberculosis miliar aguda de un solo sitio especificado;19/07/2024;A;1;100;A;1
98;A191;Tuberculosis miliar aguda de sitios multiples;Tuberculosis miliar aguda de sitios multiples;19/07/2024;A;1;100;A;1
99;A192;Tuberculosis miliar aguda, no especificada;Tuberculosis miliar aguda, no especificada;19/07/2024;A;1;100;A;1
100;A198;Otras tuberculosis miliares;Otras tuberculosis miliares;19/07/2024;A;1;100;A;1
101;A199;Tuberculosis miliar, sin otra especificacion;Tuberculosis miliar, sin otra especificacion;19/07/2024;A;1;100;A;1
102;A200;Peste bubonica;Peste bubonica;19/07/2024;A;1;100;A;1
103;A201;Peste celulocutanea;Peste celulocutanea;19/07/2024;A;1;100;A;1
104;A202;Peste neumonica;Peste neumonica;19/07/2024;A;1;100;A;1
105;A203;Meningitis por peste;Meningitis por peste;19/07/2024;A;1;100;A;1
106;A207;Peste septicemica;Peste septicemica;19/07/2024;A;1;100;A;1
107;A208;Otras formas de peste;Otras formas de peste;19/07/2024;A;1;100;A;1
108;A209;Peste, no especificada;Peste, no especificada;19/07/2024;A;1;100;A;1
109;A210;Tularemia ulceroglandular;Tularemia ulceroglandular;19/07/2024;A;1;100;A;1
110;A211;Tularemia oculoglandular;Tularemia oculoglandular;19/07/2024;A;1;100;A;1
111;A212;Tularemia pulmonar;Tularemia pulmonar;19/07/2024;A;1;100;A;1
112;A213;Tularemia gastrointestinal;Tularemia gastrointestinal;19/07/2024;A;1;100;A;1
113;A217;Tularemia generalizada;Tularemia generalizada;19/07/2024;A;1;100;A;1
114;A218;Otras formas de tularemia;Otras formas de tularemia;19/07/2024;A;1;100;A;1
115;A219;Tularemia, no especificada;Tularemia, no especificada;19/07/2024;A;1;100;A;1
116;A220;Carbunco cutaneo;Carbunco cutaneo;19/07/2024;A;1;100;A;1
117;A221;Carbunco pulmonar;Carbunco pulmonar;19/07/2024;A;1;100;A;1
118;A222;Carbunco gastrointestinal;Carbunco gastrointestinal;19/07/2024;A;1;100;A;1
119;A227;Carbunco septico;Carbunco septico;19/07/2024;A;1;100;A;1
120;A228;Otras formas de carbunco;Otras formas de carbunco;19/07/2024;A;1;100;A;1
121;A229;Carbunco, no especificado;Carbunco, no especificado;19/07/2024;A;1;100;A;1
122;A230;Brucelosis debida a Brucella melitensis;Brucelosis debida a Brucella melitensis;19/07/2024;A;1;100;A;1
123;A231;Brucelosis debida a Brucella abortus;Brucelosis debida a Brucella abortus;19/07/2024;A;1;100;A;1
124;A232;Brucelosis debida a Brucella suis;Brucelosis debida a Brucella suis;19/07/2024;A;1;100;A;1
125;A233;Brucelosis debida a Brucella canis;Brucelosis debida a Brucella canis;19/07/2024;A;1;100;A;1
126;A238;Otras brucelosis;Otras brucelosis;19/07/2024;A;1;100;A;1
127;A239;Brucelosis, no especificada;Brucelosis, no especificada;19/07/2024;A;1;100;A;1
128;A240;Muermo;Muermo;19/07/2024;A;1;100;A;1
129;A241;Melioidosis aguda y fulminante;Melioidosis aguda y fulminante;19/07/2024;A;1;100;A;1
130;A242;Melioidosis subaguda y cronica;Melioidosis subaguda y cronica;19/07/2024;A;1;100;A;1
131;A243;Otras melioidosis;Otras melioidosis;19/07/2024;A;1;100;A;1
132;A244;Melioidosis, no especificada;Melioidosis, no especificada;19/07/2024;A;1;100;A;1
133;A250;Espirilosis;Espirilosis;19/07/2024;A;1;100;A;1
134;A251;Estreptobacilosis;Estreptobacilosis;19/07/2024;A;1;100;A;1
135;A259;Fiebre por mordedura de rata, no especificada;Fiebre por mordedura de rata, no especificada;19/07/2024;A;1;100;A;1
136;A260;Erisipeloide cutaneo;Erisipeloide cutaneo;19/07/2024;A;1;100;A;1
137;A267;Sepsis por Erysipelothrix;Sepsis por Erysipelothrix;19/07/2024;A;1;100;A;1
138;A268;Otras formas de erisipeloide;Otras formas de erisipeloide;19/07/2024;A;1;100;A;1
139;A269;Erisipeloide, no especificada;Erisipeloide, no especificada;19/07/2024;A;1;100;A;1
140;A270;Leptospirosis icterohemorragica;Leptospirosis icterohemorragica;19/07/2024;A;1;100;A;1
141;A278;Otras formas de leptospirosis;Otras formas de leptospirosis;19/07/2024;A;1;100;A;1
142;A279;Leptospirosis, no especificada;Leptospirosis, no especificada;19/07/2024;A;1;100;A;1
143;A280;Pasteurelosis;Pasteurelosis;19/07/2024;A;1;100;A;1
144;A281;Enfermedad por rasguno de gato;Enfermedad por rasguno de gato;19/07/2024;A;1;100;A;1
145;A282;Yersiniosis extraintestinal;Yersiniosis extraintestinal;19/07/2024;A;1;100;A;1
146;A288;Otras enfermedades zoonoticas bacterianas especificadas, no clasificadas en otra parte;Otras enfermedades zoonoticas bacterianas especificadas, no clasificadas en otra parte;19/07/2024;A;1;100;A;1
147;A289;Enfermedad zoonotica bacteriana, sin otra especificacion;Enfermedad zoonotica bacteriana, sin otra especificacion;19/07/2024;A;1;100;A;1
148;A300;Lepra indeterminada;Lepra indeterminada;19/07/2024;A;1;100;A;1
149;A301;Lepra tuberculoide;Lepra tuberculoide;19/07/2024;A;1;100;A;1
150;A302;Lepra tuberculoide limitrofe;Lepra tuberculoide limitrofe;19/07/2024;A;1;100;A;1
151;A303;Lepra limitrofe;Lepra limitrofe;19/07/2024;A;1;100;A;1
152;A304;Lepra lepromatosa limitrofe;Lepra lepromatosa limitrofe;19/07/2024;A;1;100;A;1
153;A305;Lepra lepromatosa;Lepra lepromatosa;19/07/2024;A;1;100;A;1
154;A308;Otras formas de lepra;Otras formas de lepra;19/07/2024;A;1;100;A;1
155;A309;Lepra, no especificada;Lepra, no especificada;19/07/2024;A;1;100;A;1
156;A310;Infecciones por micobacterias pulmonares;Infecciones por micobacterias pulmonares;19/07/2024;A;1;100;A;1
157;A311;Infeccion cutanea por micobacterias;Infeccion cutanea por micobacterias;19/07/2024;A;1;100;A;1
158;A318;Otras infecciones por micobacterias;Otras infecciones por micobacterias;19/07/2024;A;1;100;A;1
159;A319;Infeccion por micobacteria, no especificada;Infeccion por micobacteria, no especificada;19/07/2024;A;1;100;A;1
160;A320;Listeriosis cutanea;Listeriosis cutanea;19/07/2024;A;1;100;A;1
161;A321;Meningitis y meningoencefalitis listeriana;Meningitis y meningoencefalitis listeriana;19/07/2024;A;1;100;A;1
162;A327;Sepsis listeriana;Sepsis listeriana;19/07/2024;A;1;100;A;1
163;A328;Otras formas de listeriosis;Otras formas de listeriosis;19/07/2024;A;1;100;A;1
164;A329;Listeriosis, no especificada;Listeriosis, no especificada;19/07/2024;A;1;100;A;1
165;A33X;Tetanos neonatal;Tetanos neonatal;19/07/2024;A;1;100;A;1
166;A34X;Tetanos obstetrico;Tetanos obstetrico;19/07/2024;A;1;100;A;1
167;A35X;Otros tetanos;Otros tetanos;19/07/2024;A;1;100;A;1
168;A360;Difteria faringea;Difteria faringea;19/07/2024;A;1;100;A;1
169;A361;Difteria nasofaringea;Difteria nasofaringea;19/07/2024;A;1;100;A;1
170;A362;Difteria laringea;Difteria laringea;19/07/2024;A;1;100;A;1
171;A363;Difteria cutanea;Difteria cutanea;19/07/2024;A;1;100;A;1
172;A368;Otras difterias;Otras difterias;19/07/2024;A;1;100;A;1
173;A369;Difteria, no especificada;Difteria, no especificada;19/07/2024;A;1;100;A;1
174;A370;Tos ferina debida a Bordetella pertussis;Tos ferina debida a Bordetella pertussis;19/07/2024;A;1;100;A;1
175;A371;Tos ferina debida a Bordetella parapertussis;Tos ferina debida a Bordetella parapertussis;19/07/2024;A;1;100;A;1
176;A378;Tos ferina debida a otras especies de Bordetella;Tos ferina debida a otras especies de Bordetella;19/07/2024;A;1;100;A;1
177;A379;Tos ferina, no especificada;Tos ferina, no especificada;19/07/2024;A;1;100;A;1
178;A38X;Escarlatina;Escarlatina;19/07/2024;A;1;100;A;1
179;A390;Meningitis meningococica;Meningitis meningococica;19/07/2024;A;1;100;A;1
180;A391;Sindrome de Waterhouse-Friderichsen;Sindrome de Waterhouse-Friderichsen;19/07/2024;A;1;100;A;1
181;A392;Meningococemia aguda;Meningococemia aguda;19/07/2024;A;1;100;A;1
182;A393;Meningococemia cronica;Meningococemia cronica;19/07/2024;A;1;100;A;1
183;A394;Meningococemia, no especificada;Meningococemia, no especificada;19/07/2024;A;1;100;A;1
184;A395;Enfermedad cardiaca debida a meningococo;Enfermedad cardiaca debida a meningococo;19/07/2024;A;1;100;A;1
185;A398;Otras formas de enfermedad meningococica;Otras formas de enfermedad meningococica;19/07/2024;A;1;100;A;1
186;A399;Enfermedad meningococica, no especificada;Enfermedad meningococica, no especificada;19/07/2024;A;1;100;A;1
187;A400;Sepsis debida a estreptococo, grupo A;Sepsis debida a estreptococo, grupo A;19/07/2024;A;1;100;A;1
188;A401;Sepsis debida a estreptococo, grupo B;Sepsis debida a estreptococo, grupo B;19/07/2024;A;1;100;A;1
189;A402;Sepsis debida a estreptococo, grupo D;Sepsis debida a estreptococo, grupo D;19/07/2024;A;1;100;A;1
190;A403;Sepsis debida a Streptococcus pneumoniae;Sepsis debida a Streptococcus pneumoniae;19/07/2024;A;1;100;A;1
191;A408;Otras sepsis estreptococicas;Otras sepsis estreptococicas;19/07/2024;A;1;100;A;1
192;A409;Sepsis estreptococica, no especificada;Sepsis estreptococica, no especificada;19/07/2024;A;1;100;A;1
193;A410;Sepsis debida a Staphylococcus aureus;Sepsis debida a Staphylococcus aureus;19/07/2024;A;1;100;A;1
194;A411;Sepsis debida a otro estafilococo especificado;Sepsis debida a otro estafilococo especificado;19/07/2024;A;1;100;A;1
195;A412;Sepsis debida a estafilococo no especificado;Sepsis debida a estafilococo no especificado;19/07/2024;A;1;100;A;1
196;A413;Sepsis debida a Haemophilus influenzae;Sepsis debida a Haemophilus influenzae;19/07/2024;A;1;100;A;1
197;A414;Sepsis debida a anaerobios;Sepsis debida a anaerobios;19/07/2024;A;1;100;A;1
198;A415;Sepsis debida a otros organismos gramnegativos;Sepsis debida a otros organismos gramnegativos;19/07/2024;A;1;100;A;1
199;A418;Otras sepsis especificadas;Otras sepsis especificadas;19/07/2024;A;1;100;A;1
200;A419;Sepsis, no especificada;Sepsis, no especificada;19/07/2024;A;1;100;A;1
201;A420;Actinomicosis pulmonar;Actinomicosis pulmonar;19/07/2024;A;1;100;A;1
202;A421;Actinomicosis abdominal;Actinomicosis abdominal;19/07/2024;A;1;100;A;1
203;A422;Actinomicosis cervicofacial;Actinomicosis cervicofacial;19/07/2024;A;1;100;A;1
204;A427;Sepsis actinomicotica;Sepsis actinomicotica;19/07/2024;A;1;100;A;1
205;A428;Otras formas de actinomicosis;Otras formas de actinomicosis;19/07/2024;A;1;100;A;1
206;A429;Actinomicosis, sin otra especificacion;Actinomicosis, sin otra especificacion;19/07/2024;A;1;100;A;1
207;A430;Nocardiosis pulmonar;Nocardiosis pulmonar;19/07/2024;A;1;100;A;1
208;A431;Nocardiosis cutanea;Nocardiosis cutanea;19/07/2024;A;1;100;A;1
209;A438;Otras formas de nocardiosis;Otras formas de nocardiosis;19/07/2024;A;1;100;A;1
210;A439;Nocardiosis, no especificada;Nocardiosis, no especificada;19/07/2024;A;1;100;A;1
211;A440;Bartonelosis sistemica;Bartonelosis sistemica;19/07/2024;A;1;100;A;1
212;A441;Bartonelosis cutanea y mucocutanea;Bartonelosis cutanea y mucocutanea;19/07/2024;A;1;100;A;1
213;A448;Otras formas de bartonelosis;Otras formas de bartonelosis;19/07/2024;A;1;100;A;1
214;A449;Bartonelosis, no especificada;Bartonelosis, no especificada;19/07/2024;A;1;100;A;1
215;A46X;Erisipela;Erisipela;19/07/2024;A;1;100;A;1
216;A480;Gangrena gaseosa;Gangrena gaseosa;19/07/2024;A;1;100;A;1
217;A481;Enfermedad de los legionarios;Enfermedad de los legionarios;19/07/2024;A;1;100;A;1
218;A482;Enfermedad de los legionarios no neumonica (fiebre de Pontiac);Enfermedad de los legionarios no neumonica (fiebre de Pontiac);19/07/2024;A;1;100;A;1
219;A483;Sindrome del choque toxico;Sindrome del choque toxico;19/07/2024;A;1;100;A;1
220;A484;Fiebre purpurica brasilena;Fiebre purpurica brasilena;19/07/2024;A;1;100;A;1
221;A488;Otras enfermedades bacterianas especificadas;Otras enfermedades bacterianas especificadas;19/07/2024;A;1;100;A;1
222;A490;Infeccion estafilococica, sitio no especificado ;Infeccion estafilococica, sitio no especificado ;19/07/2024;A;1;100;A;1
223;A491;Infeccion estreptococica, sitio no especificado ;Infeccion estreptococica, sitio no especificado ;19/07/2024;A;1;100;A;1
224;A492;Infeccion por Haemophilus influenzae, sitio no especificado;Infeccion por Haemophilus influenzae, sitio no especificado;19/07/2024;A;1;100;A;1
225;A493;Infeccion por micoplasma, sitio no especificado;Infeccion por micoplasma, sitio no especificado;19/07/2024;A;1;100;A;1
226;A498;Otras infecciones bacterianas de sitio no especificado;Otras infecciones bacterianas de sitio no especificado;19/07/2024;A;1;100;A;1
227;A499;Infeccion bacteriana, no especificada;Infeccion bacteriana, no especificada;19/07/2024;A;1;100;A;1
228;A500;Sifilis congenita precoz, sintomatica;Sifilis congenita precoz, sintomatica;19/07/2024;A;1;100;A;1
229;A501;Sifilis congenita precoz, latente;Sifilis congenita precoz, latente;19/07/2024;A;1;100;A;1
230;A502;Sifilis congenita precoz, sin otra especificacion;Sifilis congenita precoz, sin otra especificacion;19/07/2024;A;1;100;A;1
231;A503;Oculopatia sifilitica congenita tardia;Oculopatia sifilitica congenita tardia;19/07/2024;A;1;100;A;1
232;A504;Neurosifilis congenita tardia [neurosifilis juvenil];Neurosifilis congenita tardia [neurosifilis juvenil];19/07/2024;A;1;100;A;1
233;A505;Otras formas de sifilis congenita tardia, sintomatica;Otras formas de sifilis congenita tardia, sintomatica;19/07/2024;A;1;100;A;1
234;A506;Sifilis congenita tardia, latente;Sifilis congenita tardia, latente;19/07/2024;A;1;100;A;1
235;A507;Sifilis congenita tardia, sin otra especificacion;Sifilis congenita tardia, sin otra especificacion;19/07/2024;A;1;100;A;1
236;A509;Sifilis congenita, sin otra especificacion;Sifilis congenita, sin otra especificacion;19/07/2024;A;1;100;A;1
237;A510;Sifilis genital primaria;Sifilis genital primaria;19/07/2024;A;1;100;A;1
238;A511;Sifilis primaria anal;Sifilis primaria anal;19/07/2024;A;1;100;A;1
239;A512;Sifilis primaria en otros sitios;Sifilis primaria en otros sitios;19/07/2024;A;1;100;A;1
240;A513;Sifilis secundaria de piel y membranas mucosas;Sifilis secundaria de piel y membranas mucosas;19/07/2024;A;1;100;A;1
241;A514;Otras sifilis secundarias;Otras sifilis secundarias;19/07/2024;A;1;100;A;1
242;A515;Sifilis precoz, latente;Sifilis precoz, latente;19/07/2024;A;1;100;A;1
243;A519;Sifilis precoz, sin otra especificacion;Sifilis precoz, sin otra especificacion;19/07/2024;A;1;100;A;1
244;A520;Sifilis cardiovascular;Sifilis cardiovascular;19/07/2024;A;1;100;A;1
245;A521;Neurosifilis sintomatica;Neurosifilis sintomatica;19/07/2024;A;1;100;A;1
246;A522;Neurosifilis asintomatica;Neurosifilis asintomatica;19/07/2024;A;1;100;A;1
247;A523;Neurosifilis no especificada;Neurosifilis no especificada;19/07/2024;A;1;100;A;1
248;A527;Otras sifilis tardias sintomaticas;Otras sifilis tardias sintomaticas;19/07/2024;A;1;100;A;1
249;A528;Sifilis tardia, latente;Sifilis tardia, latente;19/07/2024;A;1;100;A;1
250;A529;Sifilis tardia, no especificada;Sifilis tardia, no especificada;19/07/2024;A;1;100;A;1
251;A530;Sifilis latente, no especificada como precoz o tardia;Sifilis latente, no especificada como precoz o tardia;19/07/2024;A;1;100;A;1
252;A539;Sifilis, no especificada;Sifilis, no especificada;19/07/2024;A;1;100;A;1
