"codreg_cups";"desc_cups"
"877710";"PANCREATOGRAFIA"
"877902";"HISTEROSALPINGOGRAFIA DE CONTRASTE POR GAS"
"877903";"HISTEROSALPINGOGRAFIA DE CONTRASTE RADIOPACO"
"M21323";"COLANGIOGRAFIA POST-OPERATORIA"
"INTENS";"FLUOROSCOPIA Y/O INTENSIFICADOR DE IMAGEN (PRACTICADO EN QUIRàFANOS)"
"872070";"FLUOROSCOPIA GUIA EN PROCEDIMIENTO INTERVENCIONISTA O QUIRURGICO"
"870003";"RADIOGRAFIA DE BASE DE CRANEO"
"881220";"GUIA ECOGRAFICA PARA PROCEDIMIENTOS DIAGNOSTICOS DE MAMA-ACR +"
"882311";"DOPPLER DE VASOS VENOSOS DE MIEMBROS SUPERIORES"
"871182";"FLUOROSCOPIA COMO GUIA DE PROCEDIMIENTOS QUIRURGICOS O INTERVENC"
"882360";"PLETISMOGRAFIA ARTERIAL PENEANA"
"881233";"ECOCARDIOGRAMA MODO M Y BIDIMENSIONAL CON DOPPLER"
"881234";"ECOCARDIOGRAMA MODO M Y BIDIMENSIONAL CON DOPPLER A COLOR"
"E21108";"PROYECCIÓN ADICIONAL (STRESS TÚNEL TANGENCIALES OBLICUAS) CADA UNA AL VALOR DE LA REGIÓN AGREGAR."
"E21126";"PROYECCIONES ADICIONALES (54)"
"M21145";"PROYECCIONES DINÁMICAS O ADICIONALES. TOMOGRAFÍA LINEAL DE COLUMNA AL VALOR DEL EXAMEN AGREGAR"
"021106";"PLASTIA DURAL CON INJERTO"
"032001";"CORDOTOMIA VIA ABIERTA"
"425801";"CIERRE DE PERFORACION O FISTULA ESOFAGICA VIA ENDOSCOPICA"
"904403";"INHIBINA A"
"875200";"FLEBOGRAFIA DE VASOS ESPINALES SOD"
"911036";"TITULACION DE ISOAGLUTININAS EN TUBO"
"877400";"FISTULOGRAFIA DE PARED ABDOMINAL SOD"
"873424";"RADIOGRAFIA TANGENCIAL DE ROTULA"
"873426";"RADIOGRAFIAS AXIALES DE ROTULA O LONGITUD DE MIEMBROS INFERIORES"
"873432";"RADIOGRAFIA DE ANTEPIE (AP, OBLICUA)"
"870307";"POLITOMOGRAFIA DE RINOFARINGE"
"877801";"UROGRAFIA CON NEFROTOMOGRAFIA"
"870301";"POLITOMOGRAFIA DE MASTOIDES (UNILATERALO BILATERAL)"
"870308";"POLITOMOGRAFIA SEMIAXIAL DE NARIZ"
"881290";"ULTRASONOGRAFIA DIAGNOSTICA DE OTROS SITIOS TORACICOS NCOC +"
"876803";"TOMOSINTESIS"
"877811";"PIELOGRAFIA INTRAVENOSA"
"874800";"FARINGOLARINGOGRAFIA SOD +"
"083802";"CANTORRAFIA"
"881240";"ULTRASONOGRAFIA DIAGNOSTICA DE TORAX: PERICARDIO O PLEURA +"
"882315";"DUPLEX SCANNING [DOPPLER- ECOGRAFIA] DE VASOS VENOSOS DE MIEMBRO"
"012201";"RETIRO O SUSTITUCION DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO"
"012202";"RETIRO O SUSTITUCION DE ELECTRODO  EPIDURAL"
"012203";"RETIRO O SUSTITUCION DE ELECTRODO SUBDURAL"
"012204";"RETIRO O SUSTITUCION DE ELECTRODO A NERVIO CRANEAL O PERIFERICO"
"012205";"RETIRO O SUSTITUCION DE NEUROESTIMULADOR INTRACRANEAL"
"012206";"REVISION DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO"
"012207";"REVISION DE ELECTRODO  EPIDURAL"
"012208";"REVISION DE ELECTRODO SUBDURAL"
"012209";"REVISION DE ELECTRODO A NERVIO CRANEAL O PERIFERICO"
"012210";"REVISION DE NEUROESTIMULADOR"
"012505";"CRANIECTOMIA DESCOMPRESIVA BIFRONTAL"
"012506";"CRANIECTOMIA DESCOMPRESIVA HEMISFERICA"
"012507";"CRANIECTOMIA DESCOMPRESIVA EN FOSA POSTERIOR"
"013204";"SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) VIA ENDOSCOPICA"
"013205";"SECCION DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMIA) POR CRANEOTOMIA"
"013206";"SECCION DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMIA) VIA ENDOSCOPICA"
"013207";"SECCION DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMIA) POR CRANEOTOMIA"
"013208";"SECCION DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMIA) VIA ENDOSCOPICA"
"013209";"SECCION COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMIA) POR CRANEOTOMIA"
"013210";"SECCION COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMIA) VIA ENDOSCOPICA"
"013211";"AMIGDALOHIPOCAMPECTOMIA SELECTIVA (TRACTO CEREBRAL) POR CRANEOTOMIA"
"013212";"AMIGDALOHIPOCAMPECTOMIA SELECTIVA (TRACTO CEREBRAL) CON ABLACION"
"013213";"AMIGDALOHIPOCAMPECTOMIA SUPRASELECTIVA (TRACTO CEREBRAL) VIA ENDOSCOPICA"
"013214";"TRACTOTOMIA LOBAR POR CRANEOTOMIA"
"013215";"TRACTOTOMIA LOBAR VIA ENDOSCOPICA"
"013216";"CINGULOTOMIA ESTEREOTACTICA"
"013217";"CINGULOTOMIA POR CRANEOTOMIA"
"013218";"CINGULOTOMIA CON ABLACION"
"013219";"TRACTOTOMIA MESENCEFALICA U OTRA LESION DE TALLO CEREBRAL"
"014103";"TALAMOTOMIA POR ESTEREOTAXIA"
"014301";"SUBTALAMOTOMIA POR ESTEREOTAXIA"
"014401";"LESION EN OTRAS ESTRUCTURAS SUBCORTICALES"
"015206";"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA ANTERIOR VIA ENDONASAL (EXTENDIDA)"
"018105";"HEMISFERECTOMIA CEREBRAL FUNCIONAL VIA ENDOSCOPICA"
"015313";"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA ENDONASAL (EXTENDIDA)"
"015314";"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA INFRATEMPORAL TRANSPTERIGOIDEA"
"015411";"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA POSTERIOR VIA ENDONASAL (EXTENDIDA)"
"015412";"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA POSTERIOR VIA TRANSTUBERCULOYUGULAR O TRANSCONDILAR"
"017403";"RESECCION DE LESION O TUMOR DE LINEA MEDIA SUPRATENTORIALES VIA ENDOSCOPICA"
"017404";"RESECCION DE LESION O  TUMOR DE LA REGION PINEAL VIA SUPRATENTORIAL"
"017405";"RESECCION DE LESION O TUMOR DE LA REGION PINEAL VIA INFRATENTORIAL"
"017406";"RESECCION DE LESION O TUMOR DE LA REGION PINEAL VIA ENDOSCOPICA"
"022105";"TERCER VENTRICULOSTOMIA VIA ENDOSCOPICA"
"017806";"DRENAJE DE QUISTE TUMORAL DE LINEA MEDIA INTRAVENTRICULAR POR CRANEOTOMIA"
"017807";"DRENAJE DE QUISTE TUMORAL DE LINEA MEDIA INTRAVENTRICULAR VIA ENDOSCOPICA"
"018103";"HEMISFERECTOMIA CEREBRAL ANATOMICA POR CRANEOTOMIA"
"018104";"HEMISFERECTOMIA CEREBRAL FUNCIONAL POR CRANEOTOMIA"
"018106";"HEMISFEROTOMIA CEREBRAL POR CRANEOTOMIA"
"018107";"HEMISFEROTOMIA CEREBRAL VIA ENDOSCOPICA"
"019201";"LOBECTOMIA POR CRANIECTOMIA"
"020110";"CORRECCION DE CRANEO ESTENOSIS MULTIPLE CON BRAQUICEFALIA CON AVANCE FRONTO ORBITARIO POR CRANIECTOMIA"
"020111";"CORRECCION DE CRANEO ESTENOSIS MULTIPLE CON BRAQUICEFALIA CON AVANCE FRONTO ORBITARIO VIA ENDOSCOPICA"
"020112";"CORRECCION DE ASIMETRIA CRANEANA"
"020206";"REDUCCION DE FRACTURA CRANEAL VIA ENDOSCOPICA"
"022106";"DERIVACION VENTRICULOSUBGALEAL"
"020501";"INSERCION O SUSTITUCION DE DISPOSITIVO DE FIJACION U OSTEOSINTESIS EN CRANEO"
"020502";"RECONSTRUCCION PROTESICA DE BOVEDA CRANEAL CON DISPOSITIVOS DE FIJACION U OSTEOSINTESIS"
"020503";"RECONSTRUCCION PROTESICA DE UNION CRANEOFACIAL CON DISPOSITIVOS DE FIJACION U OSTEOSINTESIS"
"020701";"EXTRACCION O SUSTITUCION DE DISPOSITIVO DE FIJACION U OSTEOSINTESIS EN CRANEO"
"021301";"RECONSTRUCCION DE LA BASE DEL CRANEO FOSA ANTERIOR VIA CRANEAL"
"021302";"RECONSTRUCCION DE LA BASE DEL CRANEO FOSA ANTERIOR VIA ENDONASAL ENDOSCOPICA"
"021303";"RECONSTRUCCION DE LA BASE DEL CRANEO FOSA MEDIA VIA CRANEAL"
"021304";"RECONSTRUCCION DE LA BASE DEL CRANEO FOSA MEDIA VIA ENDONASAL ENDOSCOPICA"
"021305";"RECONSTRUCCION DE LA BASE DEL CRANEO FOSA POSTERIOR VIA CRANEAL"
"021306";"RECONSTRUCCION DE LA BASE DEL CRANEO FOSA VIA ENDONASAL ENDOSCOPICA"
"021307";"RECONSTRUCCION DE LA BOVEDA DEL CRANEO UNILATERAL"
"021308";"RECONSTRUCCION DE LA BOVEDA DEL CRANEO BILATERAL"
"022401";"COLOCACION DE CATETER VENTRICULO PERITONEAL SIN VALVULA POR CRANEOTOMIA"
"022402";"COLOCACION DE CATETER VENTRICULO PERITONEAL CON VALVULA POR CRANEOTOMIA"
"022403";"COLOCACION DE CATETER VENTRICULO PERITONEAL SIN VALVULA VIA ENDOSCOPICA"
"022404";"COLOCACION DE CATETER VENTRICULO PERITONEAL CON VALVULA VIA ENDOSCOPICA"
"023404";"DERIVACION VENTRICULAR A CAVIDAD U OTROS ORGANOS"
"028307";"IMPLANTACION DE ELECTRODO PARA ESTIMULACION CEREBRAL POR CRANEOTOMIA"
"028308";"IMPLANTACION DE ELECTRODO PARA ESTIMULACION CEREBRAL PROFUNDA POR ESTEREOTAXIA"
"028309";"IMPLANTACION DE ELECTRODO SUBDURAL POR CRANEOTOMIA"
"028310";"IMPLANTACION DE ELECTRODO SUBDURAL POR ESTEREOTAXIA"
"028311";"IMPLANTACION DE ELECTRODO EPIDURAL (PERMANENTE)"
"028312";"IMPLANTACION DE ELECTRODO INTRACRANEAL PARENQUIMATOSO"
"028313";"IMPLANTACION DE ELECTRODO INTRACRANEAL PROFUNDO PARA ESTEREOELECTROENCEFALOGRAFIA"
"028314";"IMPLANTACION DE GENERADOR PARA NEUROESTIMULACION INTRACRANEAL"
"029001";"EMBOLIZACION DE TUMORES INTRACRANEANOS"
"029002";"EMBOLIZACION DE TUMORES ESPINALES"
"029101";"CATETERIZACION SUPRASELECTIVA DE VASO INTRACRANEANO"
"030105";"EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR LAMINECTOMIA VIA ABIERTA"
"030106";"EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR LAMINECTOMIA VIA PERCUTANEA"
"030107";"EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR LAMINECTOMIA VIA ENDOSCOPICA"
"030108";"EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR HEMILAMINECTOMIA VIA ABIERTA"
"030109";"EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR HEMILAMINECTOMIA VIA PERCUTANEA"
"030110";"EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR HEMILAMINECTOMIA VIA ENDOSCOPICA"
"030111";"EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR LAMINOTOMIA VIA ABIERTA"
"030112";"EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR LAMINOTOMIA VIA PERCUTANEA"
"030113";"EXTRACCION DE CUERPO EXTRAÑO DEL CANAL RAQUIDEO POR LAMINOTOMIA VIA ENDOSCOPICA"
"030209";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINECTOMIA VIA PERCUTANEA"
"030210";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINECTOMIA VIA ENDOSCOPICA"
"030211";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINECTOMIA VIA ABIERTA"
"030212";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINECTOMIA VIA PERCUTANEA"
"030213";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINECTOMIA VIA ENDOSCOPICA"
"030215";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR HEMILAMINECTOMIA VIA PERCUTANEA"
"030216";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR HEMILAMINECTOMIA VIA ENDOSCOPICA"
"030217";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR HEMILAMINECTOMIA VIA ABIERTA"
"030218";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR HEMILAMINECTOMIA VIA PERCUTANEA"
"030219";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR HEMILAMINECTOMIA VIA ENDOSCOPICA"
"030220";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINOTOMIA VIA ABIERTA"
"030221";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINOTOMIA VIA PERCUTANEA"
"030222";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINOTOMIA VIA ENDOSCOPICA"
"030223";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINOTOMIA VIA ABIERTA"
"030224";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINOTOMIA VIA PERCUTANEA"
"030225";"EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINOTOMIA VIA ENDOSCOPICA"
"030227";"EXPLORACION Y DESCOMPRESION HASTA DOS SEGMENTOS POR FORAMINOTOMIA VIA PERCUTANEA"
"030228";"EXPLORACION Y DESCOMPRESION HASTA DOS SEGMENTOS POR FORAMINOTOMIA VIA ENDOSCOPICA"
"030229";"EXPLORACION Y DESCOMPRESION MAS DE DOS SEGMENTOS POR FORAMINOTOMIA VIA ABIERTA"
"030231";"EXPLORACION Y DESCOMPRESION MAS DE DOS SEGMENTOS POR FORAMINOTOMIA VIA ENDOSCOPICA"
"030302";"ESCISION DE QUISTE SINOVIAL FACETARIO VIA POSTERIOR"
"030405";"DRENAJE DE COLECCION EPIDURAL TORACICA"
"030406";"DRENAJE DE COLECCION EPIDURAL LUMBOSACRA"
"030407";"DRENAJE DE COLECCION SUBDURAL CERVICAL"
"030408";"DRENAJE DE COLECCION SUBDURAL TORACICA"
"030409";"DRENAJE DE COLECCION SUBDURAL LUMBOSACRA"
"031101";"RIZOTOMIA DE RAIZ NERVIO ESPINAL VIA ABIERTA"
"031103";"RIZOTOMIA DE RAIZ NERVIO ESPINAL VIA ENDOSCOPICA"
"031105";"RIZOLISIS FACETARIA (NEUROTOMIA DE RAMA MEDIAL) VIA ENDOSCOPICA"
"032002";"CORDOTOMIA VIA PERCUTANEA"
"032003";"CORDOTOMIA VIA ENDOSCOPICA"
"033102";"DRENAJE LUMBAR TRANSITORIO"
"033103";"MANOMETRIA DE LIQUIDO CEFALORRAQUIDEO"
"034208";"RESECCION DE TUMOR O LESION O LESION INTRARAQUIDEO EXTRADURAL C1 C2 VIA ABIERTA"
"034209";"RESECCION DE TUMOR O LESION O LESION INTRARAQUIDEO EXTRADURAL C1 C2 VIA PERCUTANEA"
"034210";"RESECCION DE TUMOR O LESION O LESION INTRARAQUIDEO EXTRADURAL C1 C2 VIA ENDOSCOPICA"
"034211";"RESECCION DE TUMOR O LESION O LESION INTRARAQUIDEO EXTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VIA ABIERTA"
"034212";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL SUBAXIAL HASTA DOS SEGMENTOS  VIA PERCUTANEA"
"034213";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
"034214";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL SUBAXIAL MAS DE DOS SEGMENTOS VIA ABIERTA"
"034215";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL SUBAXIAL MAS DE DOS SEGMENTOS  VIA PERCUTANEA"
"034216";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL SUBAXIAL MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
"034217";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL TORACICO HASTA DOS SEGMENTOS VIA ABIERTA"
"034218";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL TORACICO HASTA DOS SEGMENTOS  VIA PERCUTANEA"
"034219";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL TORACICO HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
"034220";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL TORACICO MAS DE DOS SEGMENTOS VIA ABIERTA"
"034221";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL TORACICO MAS DE DOS SEGMENTOS  VIA PERCUTANEA"
"034222";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL TORACICO MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
"034224";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL LUMBAR HASTA DOS SEGMENTOS  VIA PERCUTANEA"
"034225";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL LUMBAR HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
"034226";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL LUMBAR MAS DE DOS SEGMENTOS VIA ABIERTA"
"034227";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL LUMBAR MAS DE DOS SEGMENTOS  VIA PERCUTANEA"
"034228";"RESECCION DE TUMOR O LESION INTRARAQUIDEO EXTRADURAL LUMBAR MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
"034229";"RESECCION DE TUMOR O LESION INTRARAQUIDEO SACRO VIA ABIERTA"
"034230";"RESECCION DE TUMOR O LESION INTRARAQUIDEO SACRO VIA ENDOSCOPICA"
"034307";"RESECCION DE TUMOR RADICULAR EN RELOJ DE ARENA EN CANAL VERTEBRAL EXTRADURAL CON EXTENSION FORAMINAL"
"034308";"RESECCION DE TUMOR RADICULAR EN RELOJ DE ARENA EN CANAL VERTEBRAL INTRA Y EXTRADURAL CON EXTENSION FORAMINAL"
"034309";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL C1 C2 VIA ABIERTA"
"034310";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL C1 C2 VIA PERCUTANEA"
"034311";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL C1 C2 VIA ENDOSCOPICA"
"034312";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VIA ABIERTA"
"034313";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL SUBAXIAL HASTA DOS SEGMENTOS  VIA PERCUTANEA"
"034314";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL SUBAXIAL HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
"034315";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL SUBAXIAL MAS DE DOS SEGMENTOS VIA ABIERTA"
"034316";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL SUBAXIAL MAS DE DOS SEGMENTOS  VIA PERCUTANEA"
"034317";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL SUBAXIAL MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
"034318";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL TORACICO HASTA DOS SEGMENTOS VIA ABIERTA"
"034319";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL TORACICO HASTA DOS SEGMENTOS  VIA PERCUTANEA"
"034320";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL TORACICO HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
"034321";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL TORACICO MAS DE DOS SEGMENTOS VIA ABIERTA"
"034322";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL TORACICO MAS DE DOS SEGMENTOS  VIA PERCUTANEA"
"034323";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL TORACICO MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
"034324";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL LUMBAR HASTA DOS SEGMENTOS VIA ABIERTA"
"034325";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL LUMBAR HASTA DOS SEGMENTOS  VIA PERCUTANEA"
"034326";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL LUMBAR HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
"034327";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL LUMBAR MAS DE DOS SEGMENTOS VIA ABIERTA"
"034328";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL LUMBAR MAS DE DOS SEGMENTOS  VIA PERCUTANEA"
"034329";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL LUMBAR MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
"034330";"RESECCION DE TUMOR O LESION INTRARAQUIDEO INTRADURAL SACRO VIA ABIERTA"
"034404";"RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR C1 C2 VIA PERCUTANEA"
"034405";"RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR C1 C2 VIA ENDOSCOPICA"
"034406";"RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR SUBAXIAL HASTA DOS SEGMENTOS VIA ABIERTA"
"034407";"RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR SUBAXIAL HASTA DOS SEGMENTOS  VIA PERCUTANEA"
"034408";"RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR SUBAXIAL HASTA DOS SEGMENTOS VIA ENDOSCOPICA"
"034409";"RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR SUBAXIAL MAS DE DOS SEGMENTOS VIA ABIERTA"
"034410";"RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR SUBAXIAL MAS DE DOS SEGMENTOS  VIA PERCUTANEA"
"034411";"RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR SUBAXIAL MAS DE DOS SEGMENTOS VIA ENDOSCOPICA"
"034412";"RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR TORACICO HASTA DOS SEGMENTOS VIA ABIERTA"
"034413";"RESECCION DE TUMOR O LESION INTRADURAL INTRAMEDULAR TORACICO HASTA DOS SEGMENTOS  VIA PERCUTANEA"
